run,noise_level,s3i
85,c=5,0.43384170
86,c=5,0.34451403
87,c=5,0.32280174
88,c=5,0.30226000
89,c=5,0.30655745
90,c=5,0.36701023
91,c=5,0.31810213
92,c=5,0.32762220
93,c=5,0.31126692
94,c=5,0.39289102
95,c=5,0.27771314
96,c=5,0.33858621
97,c=5,0.31665109
98,c=5,0.33132602
99,c=5,0.31201790
100,c=5,0.40769022
